date | value
2009-01-01 | 1
2015-06-15 | 500
2020-12-31 | 0.5
2021-02-29 | 100
2022-13-01 | 50
2023-04-31 | 25
2025-01-01 | -50
2024-05-20 | 1001
2024-06-10 | 0
2024-07-15 | abc
2024-08-20 | 10.5
2024-09-25 | 3.14159
2024-10-30 | 999.999
2024-11-05 | 1000
2024-12-10 | 1000.01
2025-aa-bb | 10
20-01-01 | 15
2025/01/15 | 20
2025-01-15|30
2025-01-20 |40
2025-01-25| 50
2025-01-30|60
2025-02-05 | 
 | 100
| 
2025-02-10 | -0.001
2025-02-15 | 0.000001
2025-02-20 | 1e5
2025-02-25 | +100
2025-03-01 | 100.
2025-03-05 | .5
2025-03-10 | 42 extra
2008-12-31 | 1
